# PDB,Heme,ligand,saddling
6ot9,HEC_B_204,HIS-MET,0.029
6ot9,HEC_A_202,HIS-MET,-0.255
6otd,HEM_A_201,HIS-IMD,0.289
6otw,HEM_A_500,HIS-HOH,-0.141
6otw,HEM_B_500,HIS-HOH,-0.320
6otx,HEM_A_500,HIS-OXY,-0.162
6otx,HEM_B_500,HIS-OXY,-0.340
6oty,HEM_A_500,HIS-HOH,-0.412
6oty,HEM_B_500,HIS-HOH,-0.124
6ovh,HEC_A_201,HIS-MET,-0.207
6ovh,HEC_B_201,HIS-MET,-0.207
6ovh,HEC_C_202,HIS-MET,-0.207
6ovh,HEC_D_201,HIS-MET,-0.207
6ovh,HEC_E_201,HIS-MET,-0.207
6ovh,HEC_F_201,HIS-MET,-0.207
6ovh,HEC_G_201,HIS-MET,-0.207
6ovh,HEC_H_202,HIS-MET,-0.206
6ovh,HEC_I_201,HIS-MET,-0.206
6ovh,HEC_J_202,HIS-MET,-0.207
6ovh,HEC_K_202,HIS-MET,-0.207
6ovh,HEC_L_202,HIS-MET,-0.207
6oyu,HEM_A_605,CYS,-0.059
6oyu,HEM_B_605,CYS,-0.101
6p41,HEM_A_301,HIS,-0.795
6p41,HEM_B_201,HIS-MET,0.005
6p41,HEM_C_301,HIS,-0.865
6p41,HEM_D_201,HIS-MET,-0.066
6p42,HEM_A_301,HIS,-0.621
6p42,HEM_B_201,HIS-MET,-0.196
6p42,HEM_C_301,HIS,-0.704
6p42,HEM_D_201,HIS-MET,-0.238
6p43,HEM_A_301,HIS-HOH,-0.677
6p43,HEM_B_201,HIS-MET,-0.065
6p43,HEM_C_301,HIS,-0.533
6p73,HEC_A_501,LYS-HOH,0.600
6p73,HEC_A_502,HIS-HIS,0.399
6p73,HEC_A_503,HIS-HIS,-0.197
6p73,HEC_A_504,HIS-HIS,0.109
6p73,HEC_A_505,HIS-HIS,0.321
6p73,HEC_B_501,LYS-HOH,0.562
6p73,HEC_B_502,HIS-HIS,0.339
6p73,HEC_B_503,HIS-HIS,-0.352
6p73,HEC_B_504,HIS-HIS,0.146
6p73,HEC_B_505,HIS-HIS,0.225
6pm7,HEM_A_601,TYR,0.007
6pm7,HEM_B_601,TYR,-0.099
6pmv,HEM_A_801,CYS,-0.473
6pmv,HEM_B_801,CYS,-0.557
6pmw,HEM_A_801,CYS,-0.544
6pmw,HEM_B_801,CYS,-0.665
6pmx,HEM_A_801,CYS,-0.614
6pmx,HEM_B_801,CYS,-0.607
6pmy,HEM_A_801,CYS,-0.465
6pmy,HEM_B_801,CYS,-0.537
6pmz,HEM_A_801,CYS,-0.488
6pmz,HEM_B_801,CYS,-0.703
6pn0,HEM_A_801,CYS,-0.377
6pn0,HEM_B_801,CYS,-0.386
6pn1,HEM_A_801,CYS,-0.434
6pn1,HEM_B_801,CYS,-0.634
6pn2,HEM_A_801,CYS,-0.413
6pn2,HEM_B_801,CYS,-0.526
6pn3,HEM_A_801,CYS,-0.535
6pn3,HEM_B_801,CYS,-0.561
6pn4,HEM_A_801,CYS,-0.482
6pn4,HEM_B_801,CYS,-0.447
6pn5,HEM_A_801,CYS,-0.468
6pn5,HEM_B_801,CYS,-0.704
6pn6,HEM_A_801,CYS,-0.310
6pn6,HEM_B_801,CYS,-0.536
6pn7,HEM_A_801,CYS,-0.413
6pn7,HEM_B_801,CYS,-0.546
6pn8,HEM_A_801,CYS,-0.387
6pn8,HEM_B_801,CYS,-0.540
6pn9,HEM_A_801,CYS,-0.360
6pn9,HEM_B_801,CYS,-0.537
6pna,HEM_A_801,CYS,-0.496
6pna,HEM_B_801,CYS,-0.523
6pnb,HEM_A_801,CYS,-0.534
6pnb,HEM_B_801,CYS,-0.477
6pnc,HEM_A_801,CYS,-0.562
6pnc,HEM_B_801,CYS,-0.556
6pnd,HEM_A_801,CYS,-0.478
6pnd,HEM_B_801,CYS,-0.511
6pne,HEM_A_801,CYS,-0.494
6pne,HEM_B_802,CYS,-0.540
6pnf,HEM_A_801,CYS,-0.486
6pnf,HEM_B_801,CYS,-0.508
6png,HEM_A_801,CYS,-0.425
6png,HEM_B_803,CYS,-0.413
6pnh,HEM_A_801,CYS,-0.384
6pnh,HEM_B_803,CYS,-0.488
6po0,HEM_A_601,TYR,0.080
6po0,HEM_B_601,TYR,0.077
6po0,HEM_C_601,TYR-HOH,0.013
6po0,HEM_D_601,TYR,-0.035
6po5,HEM_A_801,CYS,-0.410
6po5,HEM_B_802,CYS,-0.369
6po7,HEM_A_801,CYS,-0.419
6po7,HEM_B_801,CYS,-0.545
6po8,HEM_A_801,CYS,-0.502
6po8,HEM_B_802,CYS,-0.513
6po9,HEM_A_801,CYS,-0.543
6po9,HEM_B_802,CYS,-0.516
6poa,HEM_A_801,CYS,-0.481
6poa,HEM_B_802,CYS,-0.519
6pob,HEM_A_801,CYS,-0.466
6pob,HEM_B_802,CYS,-0.479
6poc,HEM_A_801,CYS,-0.461
6poc,HEM_B_802,CYS,-0.523
6pot,HEM_A_801,CYS,-0.521
6pot,HEM_B_802,CYS,-0.528
6pou,HEM_A_501,CYS,-0.420
6pou,HEM_B_501,CYS,-0.458
6pou,HEM_C_501,CYS,-0.515
6pou,HEM_D_501,CYS,-0.423
6pou,HEM_E_501,CYS,-0.548
6pou,HEM_F_802,CYS,-0.464
6pov,HEM_A_501,CYS,-0.414
6pov,HEM_B_501,CYS,-0.298
6pov,HEM_C_502,CYS,-0.440
6pov,HEM_D_501,CYS,-0.533
6pow,HEM_A_501,CYS,-0.509
6pow,HEM_B_501,CYS,-0.445
6pow,HEM_C_502,CYS,-0.424
6pow,HEM_D_501,CYS,-0.372
6pox,HEM_A_501,CYS,-0.479
6pox,HEM_B_501,CYS,-0.364
6pox,HEM_C_501,CYS,-0.299
6pox,HEM_D_501,CYS,-0.362
6poy,HEM_A_501,CYS,-0.338
6poy,HEM_B_501,CYS,-0.403
6poy,HEM_C_501,CYS,-0.358
6poy,HEM_D_501,CYS,-0.360
6poz,HEM_A_501,CYS,-0.335
6poz,HEM_B_501,CYS,-0.463
6poz,HEM_C_501,CYS,-0.276
6poz,HEM_D_501,CYS,-0.586
6pp0,HEM_A_501,CYS,-0.395
6pp0,HEM_B_501,CYS,-0.458
6pp0,HEM_C_501,CYS,-0.471
6pp0,HEM_D_501,CYS,-0.439
6pp1,HEM_A_501,CYS,-0.367
6pp1,HEM_B_502,CYS,-0.420
6pp1,HEM_C_501,CYS,-0.400
6pp1,HEM_D_502,CYS,-0.410
6pp2,HEM_A_501,CYS,-0.543
6pp2,HEM_B_501,CYS,-0.425
6pp2,HEM_C_501,CYS,-0.406
6pp2,HEM_D_501,CYS,-0.386
6pp3,HEM_A_501,CYS,-0.432
6pp3,HEM_B_501,CYS,-0.345
6pp3,HEM_C_501,CYS,-0.438
6pp3,HEM_D_501,CYS,-0.405
6pp4,HEM_A_501,CYS,-0.411
6pp4,HEM_B_501,CYS,-0.489
6pp4,HEM_C_502,CYS,-0.391
6pp4,HEM_D_501,CYS,-0.501
6pq6,HEM_A_502,CYS-HOH,-0.416
6pqd,HEM_A_501,CYS-HOH,-0.404
6pqs,HEM_A_501,CYS,-0.339
6pqw,HEM_A_502,CYS-HOH,-0.365
6prc,HEM_C_337,HIS-MET,0.382
6prc,HEM_C_338,HIS-MET,0.414
6prc,HEM_C_339,HIS-MET,0.409
6prc,HEM_C_340,HIS-HIS,0.207
6prr,HEM_A_502,CYS-HOH,-0.468
6prs,HEM_A_501,CYS,-0.364
6pt7,HEM_A_602,TYR,0.095
6pu7,HEM_A_501,HIS-OY4,0.285
6pu7,HEM_B_501,HIS-OY4,0.302
6pw0,HEA_A_602,HIS-HIS,-0.654
6pw0,HEA_A_603,HIS-HOH,-0.377
6pw0,HEA_C_602,HIS-HIS,-0.662
6pw0,HEA_C_603,HIS-HOH,-0.359
6pw1,HEA_A_615,HIS-HIS,-0.687
6pw1,HEA_A_616,HIS-HOH,-0.271
6pw1,HEA_C_604,HIS-HIS,-0.639
6pw1,HEA_C_605,HIS-HOH,-0.324
6pyy,HEM_A_401,HIS,-0.045
6pyy,HEM_B_401,HIS,-0.108
6pyy,HEM_C_401,HIS,-0.008
6pyy,HEM_D_401,HIS,0.065
6pyz,HEM_A_401,HIS-HOH,0.022
6pyz,HEM_B_401,HIS-HOH,-0.005
6pyz,HEM_C_401,HIS,-0.057
6pyz,HEM_D_401,HIS,-0.018
6pz1,HEM_A_501,HIS,0.183
6pz1,HEM_B_501,HIS,0.109
6q2c,HEM_A_501,CYS-HOH,0.032
6q2c,HEM_B_501,CYS-HOH,0.098
6q2t,HEM_A_601,CYS-PJM,-0.002
6q2t,HEM_B_601,CYS-PJM,-0.038
6q2u,HEC_A_201,HIS-MET,0.261
6q2u,HEC_A_202,HIS-MET,0.078
6q31,HEM_A_501,HIS-HOH,0.298
6q31,HEM_B_501,HIS-HOH,0.354
6q34,HEM_A_501,HIS-HOH,0.310
6q34,HEM_B_501,HIS-HOH,0.312
6q3d,HEM_A_501,HIS,0.298
6q3d,HEM_B_501,HIS-HOH,0.341
6q3e,HEM_A_501,HIS,0.316
6q3e,HEM_B_501,HIS-HOH,0.238
6q6p,HEM_A_201,HIS-HIS,0.021
6q6p,HEM_B_201,HIS-HIS,0.012
6qkn,HEC_A_401,HIS-AZI,0.368
6qkn,HEC_A_402,HIS-MET,0.126
6qkn,HEC_B_401,HIS-AZI,0.352
6qkn,HEC_B_402,HIS-MET,0.122
6qpv,HEC_A_503,HIS-MET,0.009
6qpv,HEC_I_503,HIS-MET,0.043
6qpx,HEC_A_503,HIS-MET,0.002
6qpx,HEC_I_503,HIS-MET,0.013
6qpz,HEC_A_503,HIS-MET,0.040
6qpz,HEC_I_504,HIS-MET,0.008
6qq0,HEC_A_503,HIS-MET,0.000
6qq1,HEC_A_503,HIS-MET,0.018
6qq2,HEC_A_504,HIS-MET,0.099
6qvm,HEC_A_701,HIS-THR,0.121
6qvm,HEC_A_702,HIS-HIS,0.397
6qvm,HEC_A_703,HIS-HIS,0.307
6qvm,HEC_A_704,HIS-HOH,0.293
6qvm,HEC_A_705,HIS-HIS,0.299
6qvm,HEC_A_706,HIS-HIS,0.085
6qvm,HEC_A_707,HIS,0.129
6qvm,HEC_A_708,HIS-HIS,0.027
6qvm,HEC_A_709,HIS-HIS,-0.110
6qvm,HEC_A_710,HIS-HIS,0.247
6qvm,HEC_A_711,HIS-MET,-0.309
6qyc,HEC_A_801,HIS-HIS,-0.112
6qyc,HEC_A_802,HIS-HIS,0.109
6qyc,HEC_A_803,HIS-HIS,0.115
6qyc,HEC_A_804,HIS-HIS,0.190
6qyc,HEC_A_805,HIS-HIS,-0.127
6qyc,HEC_A_806,HIS-HIS,0.205
6qyc,HEC_A_807,HIS-HIS,-0.060
6qyc,HEC_A_808,HIS-HIS,0.382
6qyc,HEC_A_809,HIS-HIS,-0.028
6qyc,HEC_A_810,HIS-HIS,-0.155
6qyc,HEC_B_801,HIS-HIS,-0.158
6qyc,HEC_B_802,HIS-HIS,0.131
6qyc,HEC_B_803,HIS-HIS,0.098
6qyc,HEC_B_804,HIS-HIS,0.223
6qyc,HEC_B_805,HIS-HIS,0.118
6qyc,HEC_B_806,HIS-HIS,0.178
6qyc,HEC_B_807,HIS-HIS,-0.073
6qyc,HEC_B_808,HIS-HIS,0.395
6qyc,HEC_B_809,HIS-HIS,0.071
6qyc,HEC_B_810,HIS-HIS,0.019
6qyc,HEC_C_801,HIS-HIS,-0.034
6qyc,HEC_C_802,HIS-HIS,0.102
6qyc,HEC_C_803,HIS-HIS,0.073
6qyc,HEC_C_804,HIS-HIS,0.315
6qyc,HEC_C_805,HIS-HIS,-0.122
6qyc,HEC_C_806,HIS-HIS,0.291
6qyc,HEC_C_807,HIS-HIS,-0.049
6qyc,HEC_C_808,HIS-HIS,0.422
6qyc,HEC_C_809,HIS-HIS,0.084
6qyc,HEC_C_810,HIS-HIS,-0.073
6qzo,HEM_A_401,HIS,0.164
6qzo,HEM_B_401,HIS,0.166
6qzo,HEM_C_401,HIS,0.218
6qzo,HEM_D_401,HIS,0.170
6qzo,HEM_E_401,HIS,0.154
6qzo,HEM_F_401,HIS,0.229
6qzo,HEM_G_401,HIS,0.167
6qzo,HEM_H_401,HIS,0.168
6r1q,HEM_A_202,HIS-HIS,0.055
6r2o,HEM_A_201,HIS,-0.042
6r2o,HEM_B_201,HIS-HOH,0.277
6r2o,HEM_C_201,HIS-HOH,0.098
6r2o,HEM_D_201,HIS-HOH,0.277
6r2q,HEC_A_901,HIS-HIS,-0.150
6r2q,HEC_A_902,HIS-HIS,0.151
6r2q,HEC_A_903,HIS-HIS,0.080
6r2q,HEC_A_904,HIS-HIS,0.328
6r2q,HEC_A_905,HIS-HIS,0.319
6r2q,HEC_A_906,HIS-HIS,0.006
6r2q,HEC_A_907,HIS-HIS,0.037
6r2q,HEC_A_908,HIS-HIS,0.319
6r2q,HEC_A_909,HIS-HIS,0.337
6r2q,HEC_A_910,HIS-HIS,0.398
6r2q,HEC_C_801,HIS-HIS,-0.259
6r2q,HEC_C_802,HIS-HIS,0.013
6r2q,HEC_C_803,HIS-HIS,-0.282
6r2q,HEC_C_804,HIS-HIS,0.257
6r2q,HEC_C_805,HIS-HIS,-0.018
6r2q,HEC_C_806,HIS-HIS,0.371
6r2q,HEC_C_807,HIS-HIS,-0.090
6r2q,HEC_C_808,HIS-HIS,0.383
6r2q,HEC_C_809,HIS-HIS,-0.137
6r2q,HEC_C_810,HIS-HIS,0.042
6r3w,HEM_A_201,HIS-HOH,-0.219
6r3y,HEM_A_200,HIS-CYN,-0.216
6r63,HEM_A_501,HIS-JTB,0.315
6r63,HEM_B_501,HIS-JTB,0.336
6r6m,HEC_A_200,CYS-HIS,-0.277
6r6m,HEC_B_200,CYS-HIS,0.241
6r6n,HEC_A_200,HIS-MET,-0.347
6r6n,HEC_B_200,HIS-MET,0.172
6r6o,HEC_A_200,HIS-HOH,-0.249
6r6o,HEC_B_200,CYS-HIS,0.252
6ra6,HEM_A_201,HIS-HIS,0.428
6rgi,HEC_A_201,HIS-IMD,0.061
6rjn,HEM_A_601,TYR,-0.266
6rjn,HEM_B_602,TYR,-0.112
6rjn,HEM_C_601,TYR,-0.097
6rjn,HEM_D_604,TYR,-0.106
6rjr,HEM_A_601,TYR,-0.165
6rjr,HEM_B_601,TYR,-0.278
6rjr,HEM_C_601,TYR,-0.185
6rjr,HEM_D_602,TYR,-0.168
6rk0,HEM_A_301,HIS-HOH,-0.086
6rk0,HEM_B_405,HIS-HOH,-0.060
6rko,HEB_A_604,GLU,0.634
6rko,HEB_A_605,HIS-MET,-0.023
6ro8,HEM_A_500,CYS-HOH,0.145
6rp5,HEM_A_202,HIS-CMO,-0.221
6rp5,HEM_B_202,HIS-CMO,-0.022
6rpd,HEM_A_401,HIS-CYN,0.286
6rpd,HEM_B_401,HIS-CYN,0.268
6rpe,HEM_A_401,HIS-CYN,0.154
6rpe,HEM_B_401,HIS-CYN,0.133
6rq0,HEM_A_402,CYS-HOH,-0.531
6rq1,HEM_A_402,CYS-HOH,-0.442
6rq3,HEM_A_402,CYS-HOH,-0.436
6rq5,HEM_A_403,CYS-HOH,-0.589
6rq6,HEM_A_402,CYS-HOH,-0.486
6rq8,HEM_A_402,CYS,-0.611
6rq9,HEM_A_402,CYS,-0.474
6rqb,HEM_A_405,CYS-HOH,-0.520
6rqd,HEM_A_405,CYS-HOH,-0.573
6rqe,HEM_A_405,CYS,-0.599
6rqy,HEM_A_401,HIS-HOH,0.273
6rqy,HEM_B_401,HIS-HOH,0.242
6rr1,HEM_A_401,HIS-HOH,0.279
6rr1,HEM_B_401,HIS-HOH,0.250
6rr4,HEM_A_401,HIS-HOH,0.226
6rr4,HEM_B_401,HIS-HOH,0.243
6rr5,HEM_A_401,HIS-HOH,0.253
6rr5,HEM_B_401,HIS-HOH,0.339
6rr6,HEM_A_401,HIS-HOH,0.278
6rr6,HEM_B_401,HIS-HOH,0.321
6rr8,HEM_A_401,HIS-HOH,0.401
6rr8,HEM_B_401,HIS-HOH,0.402
6rsi,HEC_A_201,HIS-HOH,-0.241
6rsj,HEC_A_201,HIS-HOH,-0.196
6rsk,HEC_A_201,HIS-HOH,-0.365
6rsk,HEC_B_201,HIS-HOH,-0.327
6rsl,HEC_A_201,HIS-HOH,0.037
6rsl,HEC_B_201,HIS-HOH,0.021
6rtd,HEC_A_503,HIS-MET,-0.004
6rtd,HEC_B_502,HIS-MET,-0.004
6rte,HEC_A_501,HIS-MET,-0.025
6rte,HEC_B_501,HIS-MET,-0.044
6s8y,HEC_A_201,HIS-MET,-0.117
6suv,HEC_AaA_202,HIS-MET,-0.179
6suv,HEC_BaB_202,HIS-MET,-0.207
6suv,HEC_CaC_202,HIS-MET,-0.120
6suv,HEC_DaD_202,HIS-MET,0.023
6suv,HEC_EaE_202,HIS-MET,-0.026
6suv,HEC_FaF_202,HIS-MET,0.005
6suv,HEC_GaG_202,HIS-MET,-0.108
6suv,HEC_HaH_202,HIS-MET,-0.221
6suy,HEC_A_201,HIS-MET,-0.201
6suy,HEC_B_201,HIS-MET,-0.276
6sva,HEM_A_201,HIS-HOH,0.110
6sva,HEM_B_201,HIS-HOH,0.188
6t0b,HEM_C_601,HIS-HIS,0.165
6t0b,HEM_C_602,HIS-HIS,-0.475
6t0b,HEC_D_401,HIS-MET,0.035
6t0b,HEM_N_601,HIS-HIS,0.068
6t0b,HEM_N_602,HIS-HIS,-0.407
6t0b,HEC_O_401,HIS-MET,0.015
6t0b,HEA_a_602,HIS-HIS,-0.602
6t0b,HEA_a_603,HIS,-0.351
6t0b,HEA_n_602,HIS-HIS,-0.682
6t0b,HEA_n_603,HIS,-0.523
6t0f,HEM_A_501,CYS,0.050
6t0f,HEM_B_501,CYS,0.018
6t0f,HEM_C_501,CYS,0.026
6t0f,HEM_D_501,CYS,-0.003
6t0g,HEM_A_501,CYS,-0.024
6t0h,HEM_A_501,CYS,0.011
6t0j,HEM_A_501,CYS,-0.030
6t0k,HEM_A_501,CYS-M65,-0.176
6t0l,HEM_A_501,CYS-M8N,-0.116
6tae,HEM_A_301,HIS-DOD,-0.815
6tb2,HEM_A_201,HIS,0.126
6tb2,HEM_B_201,HIS,-0.029
6tb8,HEM_A_501,HIS-HOH,0.181
6tb8,HEM_B_501,HIS-HOH,0.285
6td7,HEM_A_201,HIS-CYN,0.127
6te7,HEM_A_904,CYS-HOH,-0.635
6tet,HEM_A_509,CYS-HOH,-0.623
6tev,HEM_A_905,CYS-HOH,-0.610
6to2,HEM_A_501,CYS,-0.406
6to2,HEM_B_501,CYS,-0.409
6tp9,HEC_A_101,HIS-MET,0.110
6tp9,HEC_A_102,HIS-MET,-0.186
6tp9,HEC_B_101,HIS-MET,0.110
6tp9,HEC_B_102,HIS-MET,0.021
6tp9,HEC_D_101,HIS-MET,-0.036
6tp9,HEC_D_102,HIS-MET,-0.058
6tp9,HEC_E_101,HIS-MET,0.009
6tp9,HEC_E_102,HIS-MET,0.108
6tp9,HEC_G_101,HIS-MET,-0.096
6tp9,HEC_H_101,HIS-MET,-0.037
6tp9,HEC_H_102,HIS-MET,-0.013
6tpo,HEC_A_903,HIS-MET,-0.079
6tr1,HEC_A_101,HIS-MET,0.429
6tr1,HEC_C_101,HIS-MET,0.397
6tr1,HEC_E_101,HIS-MET,0.387
6tsi,HEC_A_601,HIS-MET,-0.011
6tsi,HEC_B_601,HIS-MET,-0.046
6tsy,HEC_A_201,HIS-MET,0.513
6tsy,HEC_B_201,HIS-MET,0.454
6tsy,HEC_C_201,HIS-MET,0.333
6tsy,HEC_D_201,HIS-MET,0.441
6tsy,HEC_E_201,HIS-MET,0.457
6tsy,HEC_F_201,HIS-MET,0.470
6u30,HEM_A_502,CYS-PQM,-0.163
6u31,HEM_A_501,CYS-PQP,-0.302
6u3k,HEM_A_501,CYS-HOH,-0.428
6u87,HEM_A_301,HIS-HOH,0.181
6u97,HEM_A_202,HIS-MET,0.390
6ubp,HEM_A_501,HIS,0.114
6ubp,HEM_B_501,HIS,0.181
6ud5,HEM_A_500,HIS-CMO,0.019
6ud5,HEM_B_500,HIS-CMO,-0.001
6ud5,HEM_C_500,HIS-CMO,-0.006
6ud5,HEM_D_500,HIS-CMO,0.002
6udl,HEM_A_601,CYS,-0.257
6udl,HEM_B_601,CYS,-0.146
6udl,HEM_C_601,CYS,-0.182
6udl,HEM_D_601,CYS,-0.172
6uez,HEM_A_601,CYS,0.016
6uez,HEM_B_601,CYS,-0.017
6ukl,HEM_E_203,None,-0.164
6une,HEM_A_601,CYS-QES,-0.191
6ung,HEM_A_601,CYS-QEP,-0.217
6unh,HEM_A_601,CYS-QEA,-0.217
6uni,HEM_A_601,CYS-QDV,-0.229
6unj,HEM_A_601,CYS-QDY,-0.152
6unj,HEM_B_601,CYS-QDY,-0.137
6unk,HEM_A_601,CYS-QE4,-0.102
6unl,HEM_A_601,CYS-QDJ,-0.139
6unm,HEM_A_601,CYS-QDP,-0.138
6unm,HEM_B_601,CYS,0.021
6unn,HEM_A_501,CYS,-0.343
6upg,HEM_A_401,CYS,-0.448
6upi,HEM_A_401,CYS-QFD,-0.397
6urb,HEM_A_301,TYR,-0.094
6urb,HEM_B_301,TYR,-0.181
6uw2,HEM_A_501,CYS-CL6,0.118
6uw2,HEM_B_501,CYS-CL6,0.028
6uw2,HEM_C_501,CYS-CL6,0.112
6uw2,HEM_D_501,CYS-CL6,0.056
6uw2,HEM_E_501,CYS-CL6,0.009
6uw2,HEM_F_501,CYS-CL6,0.075
6ux0,HEM_A_501,CYS-QKM,0.025
6ux0,HEM_B_501,CYS-QKM,0.200
6ux0,HEM_C_501,CYS-QKM,0.055
6ux0,HEM_D_501,CYS-QKM,0.172
6ux0,HEM_E_501,CYS-QKM,0.053
6ux0,HEM_F_501,CYS-QKM,0.191
6v0a,HEC_A_501,LYS-SO4,0.558
6v0a,HEC_A_502,HIS-HIS,0.486
6v0a,HEC_A_503,HIS-HIS,-0.246
6v0a,HEC_A_504,HIS-HIS,0.611
6v0a,HEC_A_505,HIS-HIS,0.235
6v0a,HEC_B_501,LYS-SO4,0.519
6v0a,HEC_B_502,HIS-HIS,0.451
6v0a,HEC_B_503,HIS-HIS,-0.200
6v0a,HEC_B_504,HIS-HIS,0.626
6v0a,HEC_B_505,HIS-HIS,0.033
6v0a,HEC_C_501,LYS-SO4,0.445
6v0a,HEC_C_502,HIS-HIS,0.642
6v0a,HEC_C_503,HIS-HIS,-0.255
6v0a,HEC_C_504,HIS-HIS,0.627
6v0a,HEC_C_505,HIS-HIS,0.074
6v0a,HEC_D_501,LYS-SO4,0.582
6v0a,HEC_D_502,HIS-HIS,0.556
6v0a,HEC_D_503,HIS-HIS,-0.333
6v0a,HEC_D_504,HIS-HIS,0.595
6v0a,HEC_D_505,HIS-HIS,-0.064
6v0a,HEC_E_501,LYS-SO4,0.473
6v0a,HEC_E_502,HIS-HIS,0.596
6v0a,HEC_E_503,HIS-HIS,-0.296
6v0a,HEC_E_504,HIS-HIS,0.609
6v0a,HEC_E_505,HIS-HIS,0.019
6v0a,HEC_F_501,LYS-SO4,0.464
6v0a,HEC_F_502,HIS-HIS,0.504
6v0a,HEC_F_503,HIS-HIS,-0.252
6v0a,HEC_F_504,HIS-HIS,0.707
6v0a,HEC_F_505,HIS-HIS,0.074
6v3r,HEM_A_701,HIS,-0.395
6v3r,HEM_B_702,HIS,-0.351
6v3r,HEM_C_702,HIS,-0.284
6v3r,HEM_D_702,HIS,-0.532
6v59,HEC_A_601,HIS-HOH,0.469
6v59,HEC_A_602,HIS,0.308
6v59,HEC_B_601,HIS,0.594
6v59,HEC_B_602,HIS,0.221
6vby,HEM_A_602,CYS-EPE,-0.201
6vdp,HEC_A_401,HIS-HIS,0.413
6vdq,HEC_A_401,HIS-HIS,0.331
6vdy,HEM_A_201,HIS,0.614
6vdy,HEM_B_402,HIS,0.830
6vdz,HEC_A_401,HIS-HIS,0.099
6vjx,HEM_A_501,CYS,-0.383
6vri,HEM_D_201,None,-0.234
6vxv,HEM_A_404,CYS-HOH,-0.452
6vz6,HEM_A_101,HIS-HIS,-0.698
6vza,HEM_A_405,CYS-HOH,-0.414
6vzb,HEM_A_404,CYS-HOH,-0.463
6w0s,HEM_A_409,CYS-HOH,-0.387
6w0s,HEM_B_406,CYS-HOH,-0.385
6w1o,HEC_F_102,HIS-HIS,1.048
6w1o,HEC_V_201,HIS-HIS,0.289
6w1o,HEC_f_101,HIS-HIS,0.865
6w1o,HEC_v_201,HIS-HIS,0.362
6w1p,HEC_E_101,HIS-HIS,0.915
6w1p,HEC_V_201,HIS-HIS,0.334
6w1p,HEC_e_101,HIS-HIS,0.971
6w1p,HEC_v_201,HIS-HIS,0.350
6w1q,HEC_F_101,HIS-HIS,1.151
6w1q,HEC_V_201,HIS-HIS,0.402
6w1q,HEC_f_101,HIS-HIS,0.892
6w1q,HEC_v_201,HIS-HIS,0.312
6w1r,HEC_F_101,HIS-HIS,0.833
6w1r,HEC_V_201,HIS-HIS,0.399
6w1r,HEC_f_101,HIS-HIS,0.905
6w1r,HEC_v_201,HIS-HIS,0.299
6w1t,HEC_F_101,HIS-HIS,1.069
6w1t,HEC_V_201,HIS-HIS,0.381
6w1t,HEC_f_101,HIS-HIS,0.874
6w1t,HEC_v_201,HIS-HIS,0.299
6w1u,HEC_F_101,HIS-HIS,1.166
6w1u,HEC_V_201,HIS-HIS,0.436
6w1u,HEC_e_101,HIS-HIS,0.902
6w1u,HEC_v_201,HIS-HIS,0.233
6w1v,HEC_E_103,HIS-HIS,0.869
6w1v,HEC_V_201,HIS-HIS,0.312
6w1v,HEC_e_101,HIS-HIS,0.944
6w1v,HEC_v_201,HIS-HIS,0.471
6w32,HEM_B_301,TYR,0.137
6w32,HEM_A_301,TYR,0.085
6w32,HEM_C_301,TYR,0.269
6w6n,HEC_A_201,HIS-HOH,0.643
6w6n,HEC_B_201,HIS-HOH,0.603
6we6,HEM_A_501,CYS,0.072
6we6,HEM_B_501,CYS,0.141
6wfl,HEM_A_502,CYS-CAH,0.351
6wgw,HEM_A_501,CYS-CAH,0.122
6wgw,HEM_B_501,CYS-CAH,0.164
6wj6,HEM_E_101,HIS-HIS,0.925
6wk3,HEM_A_201,HIS-ACT,0.010
6wk3,HEM_B_201,HIS-ACT,-0.007
6wk3,HEM_C_201,HIS-ACT,0.010
6wk3,HEM_D_201,HIS-ACT,0.131
6wmq,HEM_A_601,CYS-HIS,0.127
6wmq,HEM_B_601,CYS-HIS,0.203
6wms,HEM_A_601,CYS-HIS,-0.025
6wms,HEM_B_601,CYS-HIS,-0.049
6wpl,HEM_A_501,CYS-CAH,0.378
6wr0,HEM_A_600,CYS-U7P,-0.199
6wr0,HEM_B_601,CYS-U7P,0.010
6wr0,HEM_C_601,CYS-U7P,-0.057
6wr0,HEM_D_601,CYS-U7P,-0.031
6wr1,HEM_A_600,CYS-AER,-0.031
6wr1,HEM_B_600,CYS-AER,-0.067
6wti,HEM_A_1001,HIS-HIS,-0.109
6wti,HEO_A_1002,HIS,-0.079
6ww0,HEM_A_600,CYS-UDJ,-0.170
6ww0,HEM_B_600,CYS-UDJ,-0.124
6ww0,HEM_C_600,CYS-UDJ,-0.113
6ww0,HEM_D_601,CYS-UDJ,-0.117
6wxu,HEC_A_1604,HIS-HIS,0.144
6wxu,HEC_A_1605,HIS,-0.098
6wxu,HEC_C_1604,HIS-HIS,0.144
6wxu,HEC_C_1605,HIS,-0.098
6wxz,HEC_B_605,HIS-HOH,-0.802
6wxz,HEC_E_610,HIS-HOH,-0.861
6wy0,HEC_A_201,HIS,-0.951
6wy0,HEC_D_201,HIS,-0.975
6wy0,HEC_G_601,HIS,-0.893
